semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,1486,plant,1541,cultivate,5
Agriculture and vegetation,1690,fence,1541,cultivate,5
Agriculture and vegetation,2002,ditch,1541,cultivate,3
Agriculture and vegetation,606,grass,1541,cultivate,5
Agriculture and vegetation,641,mushroom,1541,cultivate,6
Agriculture and vegetation,748,sow seeds,1541,cultivate,4
Agriculture and vegetation,1204,bark,1689,smoke,1
Agriculture and vegetation,641,mushroom,1689,smoke,1
Agriculture and vegetation,1204,bark,1690,fence,1
Agriculture and vegetation,1418,dig,1690,fence,1
Agriculture and vegetation,641,mushroom,1690,fence,1
Agriculture and vegetation,1204,bark,1740,pine,11
Agriculture and vegetation,641,mushroom,1740,pine,11
Agriculture and vegetation,1077,wheat,1794,furrow,5
Agriculture and vegetation,1204,bark,1794,furrow,10
Agriculture and vegetation,1418,dig,1794,furrow,9
Agriculture and vegetation,1486,plant,1794,furrow,9
Agriculture and vegetation,190,mow,1794,furrow,6
Agriculture and vegetation,1901,shovel,1794,furrow,7
Agriculture and vegetation,284,hoe,1794,furrow,7
Agriculture and vegetation,606,grass,1794,furrow,9
Agriculture and vegetation,641,mushroom,1794,furrow,10
Agriculture and vegetation,748,sow seeds,1794,furrow,8
Agriculture and vegetation,1204,bark,1855,birch,20
Agriculture and vegetation,1740,pine,1855,birch,9
Agriculture and vegetation,641,mushroom,1855,birch,20
Agriculture and vegetation,1204,bark,190,mow,3
Agriculture and vegetation,1486,plant,190,mow,3
Agriculture and vegetation,606,grass,190,mow,2
Agriculture and vegetation,641,mushroom,190,mow,3
Agriculture and vegetation,1204,bark,1901,shovel,3
Agriculture and vegetation,606,grass,1901,shovel,2
Agriculture and vegetation,641,mushroom,1901,shovel,3
Agriculture and vegetation,1204,bark,1915,fir,19
Agriculture and vegetation,345,sap,1915,fir,18
Agriculture and vegetation,641,mushroom,1915,fir,18
Agriculture and vegetation,1204,bark,1921,plough,8
Agriculture and vegetation,1418,dig,1921,plough,8
Agriculture and vegetation,1486,plant,1921,plough,6
Agriculture and vegetation,3541,harvest or harvest season,1921,plough,1
Agriculture and vegetation,606,grass,1921,plough,7
Agriculture and vegetation,641,mushroom,1921,plough,8
Agriculture and vegetation,748,sow seeds,1921,plough,5
Agriculture and vegetation,641,mushroom,1927,bamboo,7
Agriculture and vegetation,1204,bark,1950,beech,25
Agriculture and vegetation,33,nettle,1950,beech,13
Agriculture and vegetation,343,vine,1950,beech,19
Agriculture and vegetation,345,sap,1950,beech,25
Agriculture and vegetation,641,mushroom,1950,beech,25
Agriculture and vegetation,864,pumpkin,1950,beech,23
Agriculture and vegetation,1204,bark,199,famine,4
Agriculture and vegetation,1418,dig,199,famine,4
Agriculture and vegetation,212,field,199,famine,4
Agriculture and vegetation,606,grass,199,famine,3
Agriculture and vegetation,641,mushroom,199,famine,4
Agriculture and vegetation,1204,bark,2002,ditch,2
Agriculture and vegetation,1418,dig,2002,ditch,2
Agriculture and vegetation,1486,plant,2002,ditch,2
