lemma,zh,ko,id,ms,en,nl,de,da,no,sv,fi,lt,pl,ru,uk,mk,el,ro,it,fr,ca,es,pt
banshee,1.4735216164638787e-06,na,1.6899643856905358e-07,1.3337891335399018e-07,4.919693100283805e-07,1.2653058513120116e-07,6.289455984908996e-07,2.2519454500444298e-08,6.785103129666136e-08,1.196556835911255e-07,na,na,1.836371691914125e-07,4.613377086601623e-08,na,na,na,na,1.7968325077187433e-07,2.4732500692262695e-07,2.0423168041826649e-07,1.8687264106268184e-07,1.0316079651431017e-07
mystique,na,na,na,4.0013674006197053e-07,1.3312110741944415e-06,8.435372342080077e-08,8.385941313211993e-08,6.75583635013329e-08,3.392551564833068e-08,5.982784179556276e-08,na,na,2.0404129910156943e-08,na,na,na,na,1.3797195982063368e-07,na,na,na,na,na
tum,na,na,1.8719605503033628e-06,1.3337891335399017e-06,5.064389956174505e-07,2.108843085520019e-07,6.079807452078696e-07,4.5038909000888595e-08,na,na,6.281610635118575e-07,1.8875282327035406e-07,1.4690973535313e-06,1.845350834640649e-07,na,na,na,0.0,4.791553353916648e-07,1.4839500415357617e-07,6.807722680608882e-08,2.7481270744512035e-07,2.140586527671936e-06
neurotransmitter,na,na,3.1199342505056047e-07,6.668945667699509e-08,2.1704528383605026e-07,4.639454788144042e-07,1.257891196981799e-07,4.5038909000888595e-08,na,1.196556835911255e-07,7.537932762142291e-07,1.8875282327035406e-07,1.2242477946094165e-07,na,na,na,5.95782980713132e-07,na,4.591905297503455e-07,na,3.4038613403044416e-07,1.5609361782882835e-06,6.70545177343016e-07
frantically,na,na,na,na,2.9518158601702835e-06,na,na,na,na,na,na,na,na,na,na,na,na,na,8.385218369354135e-07,na,na,7.584830725485321e-07,1.4958315494574975e-06
stepmother,6.174757249943873e-07,na,na,na,1.0273476768239712e-06,1.982312500388818e-06,1.320785756830889e-06,1.3286478155262135e-06,3.3586260491847377e-06,3.7890966470523084e-07,na,7.550112930814162e-07,7.753569365859638e-07,2.0990865744037384e-06,na,2.5670341915561095e-06,1.191565961426264e-06,na,1.297712366685759e-06,3.297666758968359e-07,1.0892356288974212e-06,1.242153437651944e-06,3.494571981922257e-06
playmate,na,na,2.0799561670037365e-07,na,1.3746201309616514e-06,2.530611702624023e-07,4.821916255096896e-07,na,na,na,na,na,na,na,na,na,na,4.599065327354456e-08,1.397536394892356e-07,2.4732500692262695e-07,na,2.1985016595609626e-08,1.289509956428877e-07
thermometer,1.1928508323755208e-06,3.584262594767903e-07,7.799835626264012e-07,2.0006837003098527e-07,2.5611343492653927e-06,2.0455777929544184e-06,4.5703380157005365e-06,1.0809338160213263e-06,1.2213185633399045e-06,2.1538023046402594e-06,2.07293150958913e-06,na,3.5095103445469943e-06,4.451908888570566e-06,7.515481605256385e-06,1.4509323691404096e-06,6.372287532844804e-06,2.207551357130139e-06,6.8678931406138634e-06,3.413085095532252e-06,4.901560330038396e-06,2.6821720246643746e-06,1.1605589607859893e-06
shudder,na,na,na,na,3.877875737870764e-06,1.2442174204568112e-06,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
puma,na,na,1.1179764397645083e-06,4.668261967389656e-07,1.2299232750709514e-06,9.068025267736082e-07,2.0755204750199685e-06,5.404669080106632e-07,1.2213185633399045e-06,1.7150647981394658e-06,3.1408053175592877e-07,na,8.161651964062777e-07,na,na,na,na,1.9086121108520994e-06,9.18381059500691e-07,1.137695031844084e-06,5.446178144487106e-07,3.198819914661201e-06,1.4829364498932085e-06
bds,na,na,3.2499315109433384e-07,na,3.472724541376804e-07,2.108843085520019e-07,2.3061338611332983e-07,na,na,1.5954091145483402e-07,na,na,na,na,na,na,na,na,2.395776676958324e-07,1.7312750484583886e-06,4.0846336083653297e-07,7.69475580846337e-08,6.576500777787273e-07
rami,na,na,na,na,1.4469685589070016e-07,1.0544215427600095e-07,3.5640250581150973e-07,3.828307265075531e-07,1.3570206259332272e-07,1.2164994498431094e-06,4.3971274445830024e-06,na,2.856578187421972e-07,3.2293639606211357e-07,1.0326615946153812e-06,1.1161018224156997e-07,na,7.128551257399407e-07,na,1.3355550373821855e-06,8.169267216730659e-07,8.574156472287755e-07,6.447549782144385e-08
degradation,na,na,4.003915621482193e-06,na,1.4903776156742117e-06,1.876870346112817e-06,na,8.33219816516439e-07,na,na,na,na,1.489501483441457e-06,6.22805906691219e-06,8.146552579743562e-06,4.241186925179659e-06,na,5.6338550260092095e-06,7.486802115494763e-06,7.996841890498272e-06,7.6246494022819485e-06,3.132864864874372e-06,4.732501540093978e-06
canute,na,na,1.2999726043773353e-08,na,1.0128779912349011e-07,2.530611702624023e-07,na,na,na,na,1.256322127023715e-07,5.662584698110622e-07,2.0404129910156943e-08,na,na,na,na,na,3.7933130718506804e-07,na,na,1.2091759127585295e-06,2.192166925929091e-07
taster,na,na,na,na,1.5482563580304916e-06,na,na,2.6798150855528713e-06,na,na,na,na,na,na,na,na,2.59036078570927e-07,9.198130654708912e-08,5.989441692395811e-07,na,na,5.056553816990215e-07,na
wesleyan,na,na,7.799835626264012e-08,na,6.511358515081508e-07,na,8.385941313211993e-08,0.0,0.0,na,na,na,na,na,na,na,na,0.0,7.985922256527748e-08,na,na,na,0.0
speculator,na,na,1.1699753439396018e-07,na,7.668933362207108e-07,7.802719416424071e-07,3.0399037260393477e-06,1.058414361520882e-06,2.035530938899841e-07,na,na,1.1325169396221244e-06,na,1.845350834640649e-06,na,1.0044916401741297e-06,na,na,4.651799714427413e-06,3.841781774198138e-06,na,3.880355429125099e-06,1.740838441178984e-06
skeleton,1.2770520676020283e-06,3.308550087478064e-07,3.3799287713810717e-07,1.0070107958226258e-05,3.1688611440063336e-06,1.0122446810496092e-06,1.0482426641514992e-06,2.589737267551094e-06,1.6284247511198728e-06,1.3959829752297977e-06,9.422415952677864e-07,5.662584698110622e-07,3.325873175355582e-06,2.7910931373939815e-06,na,1.2277120046572697e-06,3.3674690214220504e-06,3.93220085488806e-06,2.7351783728607536e-06,3.083318419635416e-06,2.2465484846009315e-06,3.770430346147051e-06,3.584837678872278e-06
