concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
2263,male (of animal),Relating to the male sex of animals.,a01477077,male,"for or pertaining to or composed of men or boys; ""the male lead""; ""the male population"""
2262,female (of animal),Relating to the female sex of animals (adjective).,a01477806,female,"being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop; ""a female heir""; ""female holly trees bear the berries"""
631,livestock,"Cattle, horses, and similar animals kept for domestic use especially on a farm.",n01887474,livestock//stock//farm animal,any animals kept for use or profit
649,pasture,Land covered with grass or herbage and grazed by or suitable for grazing by livestock.,n08616050,pasture//pastureland//grazing land//lea//ley,a field covered with grass or herbage and suitable for grazing by livestock
263,herdsman,A man who looks after a herd of animals.,n10171567,herder//herdsman//drover,someone who drives a herd
851,stable,"A building or structure usually with stalls that is used to house and feed horses, cattle or other animals.",n04299370,stall,a compartment in a stable where a single animal is confined and fed
1153,cattle,"Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.",n02402425,cattle//cows//kine//oxen//Bos taurus,"domesticated bovine animals as a group regardless of sex or age; ""so many head of cattle""; ""wait till the cows come home""; ""seven thin and ill-favored kine""- Bible; ""a team of oxen"""
1008,bull,Male bovine animal.,n02403325,bull,uncastrated adult male of domestic cattle
1169,ox,A castrated bull.,n02403003,ox,an adult castrated bull of the genus Bos; especially Bos taurus
1007,cow,Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.,n02403454,cow//moo-cow,"female of domestic cattle: ""`moo-cow' is a child's term"""
1989,calf,Young cattle.,n01887896,calf,young of domestic cattle
1331,sheep,"A common, four-legged animal (Ovis) that is commonly kept by humans for its wool.",n02411705,sheep,woolly usually horned ruminant mammal related to the goat
1344,ram,A male sheep.,n02412080,ram//tup,"uncastrated adult male sheep; ""a British term is `tup'"""
1345,ewe,A female sheep.,n02411999,ewe,female sheep
820,lamb,Young sheep.,n02412440,lamb,young sheep
1348,boar (male pig),An adult male pig.,n02396427,wild boar//boar//Sus scrofa,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
1351,sow (female pig),An adult female pig.,n02396088,sow,an adult female hog
1337,pig,"A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.",n02395406,hog//pig//grunter//squealer//Sus scrofa,domestic swine
1502,goat,A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.,n02416519,goat//caprine animal,any of numerous agile ruminants related to sheep but having a beard and straight horns
2475,male goat,A male goat.,NA,NA,NA
1972,young goat (kid),A young goat.,n02416820,kid,young goat
615,horse,A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.,n02374451,horse//Equus caballus,solid-hoofed herbivorous quadruped domesticated since prehistoric times
