concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
1386,lion,"A large cat (Panthera leo) that is native to Africa, Asia and formerly much of Europe.",n02129165,lion//king of beasts//Panthera leo,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
1820,bear,"A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.",n02131653,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
1312,fox,A carnivorous relatively small canine of the species Vulpes Vulpes.,n02118333,fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
1936,deer,The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.,n02430045,deer//cervid,distinguished from Bovidae by the male's having solid deciduous antlers
1350,monkey,"A primate from the group *New World monkeys* or *Old World monkeys* (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.",n02484322,monkey,any of various long-tailed primates (excluding the prosimians)
1290,elephant,"A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.",n02503517,elephant,five-toed pachyderm
1871,camel,"A beast of burden, much used in desert areas, of the genus Camelus.",n02437136,camel,cud-chewing mammal used as a draft or saddle animal in desert regions
620,insect,"A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.",n02159955,insect,small air-breathing arthropod
267,nit,An egg of a louse that is sometimes found in people's hair.,n01461146,nit,egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing
232,flea,Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH),n02186153,flea,any wingless bloodsucking parasitic insect noted for ability to leap
1974,centipede,"Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.",n01786402,Diplopoda//class Diplopoda//Myriapoda//class Myriapoda,arthropods having the body composed of numerous double somites each with two pairs of legs: millipedes
1538,scorpion,"An arthropod with eight legs, belonging to the order Scorpiones in the class Arachnida.",n01770393,scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
1575,cockroach,The most primitive of the living winged insects.,n02233338,cockroach//roach,any of numerous chiefly nocturnal insects; some are domestic pests
587,ant,"Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.",n02219486,ant//emmet//pismire,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
843,spider,"Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.",n01772222,spider,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
665,bee,Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.,n02206856,bee,any of numerous hairy-bodied insects including social and solitary species
1931,beeswax,A yellowish or dark brown wax secreted by honeybees for constructing honeycombs.,n15094824,beeswax,a yellow to brown wax secreted by honeybees to build honeycombs
88,beehive,A structure that provides a natural habitation for bees; as in a hollow tree.,n02822865,beehive//hive,a man-made receptacle that houses a swarm of bees
1517,wasp,"A flying stinging insect related to the bee, which is usually coloured yellow and black.",n02212062,wasp,social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting
1504,fly (insect),A common insect; any species of insect of the order Diptera.,n02190166,fly,two-winged insects characterized by active flight
95,sandfly,"A tiny flying insect from one of several species in the Nematocera suborder, including the families Mycetophilidae, Anisopodidae and Sciaridae.",n02205383,Simuliidae//family Simuliidae,blackflies and sand flies
1509,mosquito,A small flying insect (of the family Culicidae) known for biting and sucking blood.,n02200198,mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
1219,worm,A generally tubular invertebrate of the annelid phylum.,n01922303,worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
730,snake,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",n01726692,snake//serpent//ophidian,limbless scaly elongate reptile; some are venomous
206,firefly,"A nocturnal, bioluminescent beetle of the family Lampyridae.",n02168427,glowworm,the luminous larva or wingless grub-like female of a firefly
1791,butterfly,A lepidopteran that is active at day.,n02274259,butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
607,grasshopper,A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.,n02226429,grasshopper//hopper,terrestrial plant-eating insect with hind legs adapted for leaping
1543,snail,"(Gastropoda) Ventral footed mollusk, including land snails, terrestrial pulmonate gastropod mollusks.",n01944390,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
503,frog,"Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.",n01639765,frog//toad//toad frog//anuran//batrachian//salientian,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
632,lizard,"Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.",n01674464,lizard,relatively long-bodied reptile with usually two pairs of legs and a tapering tail
1857,crocodile,"Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)",n01698434,alligator//gator,either of two amphibious reptiles related to crocodiles but with shorter broader snouts
