concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
740,ship,Motion,Person/Thing,Noun,0.615746,39.229011,0.747433,53.594869,181.77046,2.50922,8.5e-4,841.293385,5.33,4.87,4.857786662
741,drive,Motion,Action/Process,Verb,0.491604,128.83236,1.37788,295.784643,210.69432,1.0007,3.2e-4,3053.09997,5.26,3.86,7.032432316
744,egg,Food and drink,Person/Thing,Noun,1,75.678648,0.532917,105.482343,294.71046,1.31982,7.6e-4,1869.771581,3.89,4.97,5.917642527
753,pupil,Cognition,Person/Thing,Noun,0.866045,184.909604,0.445058,268.972739,135.97003,0.7514,4.08e-4,4902.996144,5.94,4.92,5.288395343
754,hurry,Time,Action/Process,Verb,0.833279,31.08211,0.907938,89.464654,154.05535,0.94206,2.6e-4,1369.029961,4.44,2.9,5.599923705
755,deny,Speech and language,Action/Process,Verb,0.760898,64.409526,0.513272,88.842467,153.68724,1.64155,2.15e-4,886.087214,7.8,3.04,5.019088786
757,button,Clothing and grooming,Person/Thing,Noun,0.91664,36.567246,0.510087,68.107735,90.62595,0.39919,2.12e-4,1277.662415,4.78,4.96,5.826725073
758,heron,Animals,Person/Thing,Noun,0.259983,0.893343,1.082585,1.475885,107.51813,1.20637,6e-6,28.774844,10.35,4.38,3.479851943
759,silver,Basic actions and technology,Person/Thing,Noun,0.833473,33.353542,1.345695,39.97911,123.93805,0.90594,3.29e-4,728.567191,6.21,4.52,4.797850397
761,cover,Spatial relations,Action/Process,Verb,1,70.359728,0.821588,250.56759,225.34096,0.79685,2.79e-4,3235.241768,5.42,4.23,4.518061038
765,move,Motion,Action/Process,Verb,0.922023,127.240621,0.940573,469.866683,625.04212,2.31482,4.96e-4,4795.312964,4.62,3.25,7.002287415
770,earring,Clothing and grooming,Person/Thing,Noun,1,6.235941,0.791397,9.217044,172.95954,2.869,7.6e-5,208.543459,7.17,4.96,5.83488982
777,flute,Speech and language,Person/Thing,Noun,0.59619,4.213656,1.131636,3.790998,109.80005,0.51365,1.01e-4,70.602195,8.47,5,6.054203466
781,fear,Emotions and values,Person/Thing,Noun,0.917557,211.158256,0.465057,133.234762,172.39973,1.01913,7.88e-4,2324.236132,4.79,2.57,5.732314912
783,victory,Warfare and hunting,Person/Thing,Noun,0.843515,80.903085,0.580742,45.245993,107.84822,0.8851,1.47e-4,894.096707,7.53,2.55,4.56352276
