concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,mand1415,kore1280,indo1316,stan1306,stan1293,stan1295,dani1285,norw1258,finn1318,lith1251,poli1260,russ1263,ukra1253,mace1250,mode1248,roma1327,ital1282,stan1290,stan1289,stan1288,port1283,dutc1256,swed1254
1068,court,Law,Person/Thing,Noun,0.730602,0.530253,50.464077,5.78989,62.190077,165.715752,102.805493,45.346152,60.193426,39.454305,115.137055,10.569077,46.35746,84.700158,161.375671,95.530991,20.774309,104.190078,51.767833,71.888144,58.407267,99.789013,83.546436,40.552335,34.500193
1072,prisoner,Warfare and hunting,Person/Thing,Noun,0.887799,0.723911,12.896687,2.784661,20.331371,4.868109,12.443733,8.993758,24.027828,17.980036,29.710762,3.019736,8.039102,12.894169,15.661414,12.499382,15.101524,11.037572,14.773697,33.009189,18.924499,35.384538,6.769853,8.076726,15.973789
1079,feel,Sense perception,Action/Process,Verb,1,0.914345,833.316832,110.145768,602.167384,896.33216,1277.566251,467.822188,369.582679,574.546959,132.913262,319.525841,450.006061,436.187358,357.860447,260.589795,290.529492,170.737438,185.729328,179.720361,292.444775,574.407895,566.643164,675.155257,96.34129
1095,let go or set free,Possession,Action/Process,Verb,1,0.871509,32.290834,57.733476,38.218818,267.079109,183.675289,16.331324,32.832778,25.17205,44.283483,10.946544,55.477963,62.325661,80.888623,12.499382,41.522715,47.507548,22.879266,4.468277,7.488111,14.235159,101.741223,30.177011,177.865446
1110,shark,Animals,Person/Thing,Noun,0.505043,0.401297,3.073313,1.350974,8.878726,2.334025,19.46142,9.32919,8.804949,1.69623,4.648195,1.132401,3.733897,12.017642,5.449943,8.035317,5.491463,5.196857,5.889514,8.458399,5.241678,7.540787,7.504866,7.148852,8.834442
1134,divorce,Kinship,Person/Thing,Noun,0.767827,0.843281,29.66659,8.326413,22.606301,55.082982,23.889074,13.018937,35.715216,22.22061,6.030091,21.138154,5.447818,24.911811,7.228345,10.936959,7.693229,2.805383,9.602903,16.883821,8.168848,17.653795,12.147051,3.416265,6.501192
1154,olive,Food and drink,Person/Thing,Noun,0.515265,0.439896,1.220905,3.115512,5.316836,8.469175,34.625411,4.989544,5.562206,6.242126,4.648195,72.851137,19.465236,22.928093,7.687288,11.941374,17.199678,11.72742,42.723934,34.954786,30.360887,24.403129,7.143807,9.278745,0.279192
1155,cave,The physical world,Person/Thing,Noun,1,0.920841,5.234455,3.0328,949.009661,554.897694,18.159169,10.251627,19.343866,6.445673,2.324098,2.453536,10.059079,12.086842,16.005621,18.860675,17.743643,19.40773,12.258176,13.701617,28.250601,19.115785,8.768572,7.27538,4.287596
1156,open,Spatial relations,Action/Process,Verb,1,0.9839,446.40219,65.260334,714.067925,562.900064,488.112668,320.819312,230.077153,380.87144,106.971307,16.608549,125.177383,452.14937,448.788438,422.970159,162.205392,274.720562,255.684779,397.495272,469.164197,359.979136,426.939183,526.442273,304.73841
1171,mirror,Clothing and grooming,Person/Thing,Noun,1,0.939118,32.038233,10.890508,25.674206,67.953461,41.889079,78.889307,13.466393,10.4827,12.688317,10.75781,13.242074,47.701505,40.673783,59.148861,37.196893,53.049329,51.408472,26.03472,34.104942,46.343961,50.096914,41.564562,15.37552
