concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
1302,fork,Food and drink,Person/Thing,Noun,0.716174
272,tongs,Food and drink,Person/Thing,Noun,0.667583
1526,meal,Food and drink,Person/Thing,Noun,0.820979
1322,breakfast,Food and drink,Person/Thing,Noun,0.687993
1833,dinner,Food and drink,Person/Thing,Noun,0.596791
275,peel,Food and drink,Action/Process,Verb,0.969058
3448,sieve or strain,Food and drink,Action/Process,Verb,0.930401
1767,scrape,Basic actions and technology,Action/Process,Verb,0.964192
2017,mix,Food and drink,Action/Process,Verb,0.977278
1368,bread,Food and drink,Person/Thing,Noun,0.849291
273,dough,Food and drink,Person/Thing,Noun,0.70629
274,knead,Food and drink,Action/Process,Verb,0.840362
1594,flour,Food and drink,Person/Thing,Noun,0.914785
1033,grind,Food and drink,Action/Process,Verb,0.989927
636,mill,Food and drink,Person/Thing,Noun,0.762886
224,mortar,Food and drink,Person/Thing,Noun,0.865276
225,pestle,Food and drink,Person/Thing,Noun,0.84448
634,meat,Food and drink,Person/Thing,Noun,0.98716
1874,sausage,Food and drink,Person/Thing,Noun,0.547712
1547,soup,Food and drink,Person/Thing,Noun,0.98524
924,vegetables,Food and drink,Person/Thing,Noun,0.671975
832,bean,Food and drink,Person/Thing,Noun,0.901408
593,potato,Food and drink,Person/Thing,Noun,0.713859
1507,fruit,Food and drink,Person/Thing,Noun,0.93765
1966,bunch,Food and drink,Person/Thing,Noun,0.790921
322,fig,Food and drink,Person/Thing,Noun,0.4631
920,grape,Food and drink,Person/Thing,Noun,0.603338
191,nut,Food and drink,Person/Thing,Noun,0.640218
1154,olive,Food and drink,Person/Thing,Noun,0.439896
1484,oil,Food and drink,Person/Thing,Noun,0.859393
323,fat,The body,Person/Thing,Noun,0.967919
1274,salt,Food and drink,Person/Thing,Noun,0.994987
1385,pepper,Food and drink,Person/Thing,Noun,0.695061
942,honey,Food and drink,Person/Thing,Noun,0.984829
862,sugar,Food and drink,Person/Thing,Noun,0.913342
635,milk,Food and drink,Person/Thing,Noun,0.98219
93,draw milk,Food and drink,Action/Process,Verb,0.84957
1569,cheese,Food and drink,Person/Thing,Noun,0.576525
1245,butter,Food and drink,Person/Thing,Noun,0.554344
731,beverage,Food and drink,Person/Thing,Noun,0.779885
941,mead,Food and drink,Person/Thing,Noun,0.510061
1524,wine,Food and drink,Person/Thing,Noun,0.678729
1639,beer,Food and drink,Person/Thing,Noun,0.685495
744,egg,Food and drink,Person/Thing,Noun,0.993066
1556,yolk,Food and drink,Person/Thing,Noun,0.777501
1895,clothes,Clothing and grooming,Person/Thing,Noun,0.992179
881,tailor,Clothing and grooming,Person/Thing,Noun,0.671098
1616,cloth,Clothing and grooming,Person/Thing,Noun,0.959365
964,wool,Clothing and grooming,Person/Thing,Noun,0.731078
1850,cotton,Clothing and grooming,Person/Thing,Noun,0.902324
1641,silk,Clothing and grooming,Person/Thing,Noun,0.567167
325,felt,Clothing and grooming,Person/Thing,Noun,0.38982
580,fur,The body,Person/Thing,Noun,0.822169
629,leather,Clothing and grooming,Person/Thing,Noun,0.961565
121,spin,Clothing and grooming,Action/Process,Verb,0.922569
277,spindle,Clothing and grooming,Person/Thing,Noun,0.773022
133,weave,Clothing and grooming,Action/Process,Verb,0.956403
1787,loom,Clothing and grooming,Person/Thing,Noun,0.663178
1457,sew,Clothing and grooming,Action/Process,Verb,0.991199
1382,needle,Clothing and grooming,Person/Thing,Noun,0.988985
278,awl,Clothing and grooming,Person/Thing,Noun,0.708853
1161,thread,Clothing and grooming,Person/Thing,Noun,0.97819
157,dye,Clothing and grooming,Action/Process,Verb,0.881848
326,cloak,Clothing and grooming,Person/Thing,Noun,0.635743
474,dress,Clothing and grooming,Person/Thing,Noun,0.830692
603,coat,Clothing and grooming,Person/Thing,Noun,0.678458
1622,shirt,Clothing and grooming,Person/Thing,Noun,0.899748
2012,collar,Clothing and grooming,Person/Thing,Noun,0.754537
1600,skirt,Clothing and grooming,Person/Thing,Noun,0.83853
328,grass-skirt,Clothing and grooming,Person/Thing,Noun,0.304376
809,trousers,Clothing and grooming,Person/Thing,Noun,0.936231
329,stocking,Clothing and grooming,Person/Thing,Noun,0.730777
1381,shoe,Clothing and grooming,Person/Thing,Noun,0.92937
585,boot,Clothing and grooming,Person/Thing,Noun,0.591468
