concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
481,dish,Food and drink,Person/Thing,Noun,0.936726,0.867156,41.377442,0.919568,71.276546,201.5809,1.336,2.04e-4,1252.743993,4.89,4.9,5.138836802
485,disappear,Motion,Action/Process,Verb,0.974618,0.927022,51.993598,0.218549,37.635058,112.40333,0.55251,1.45e-4,261.643429,5.37,2.86,3.991715126
488,manner,Cognition,Person/Thing,Noun,0.871651,0.72247,480.911306,0.800549,1378.10004,2167.125,0.76063,4.3e-4,26436.665678,5.39,2.34,4.604562167
489,kidney,The body,Person/Thing,Noun,1,0.909628,6.947336,0.730586,8.247591,96.47074,0.70278,3e-5,153.366953,9.33,4.96,3.857381793
492,three,Quantity,Number,Function word,1,0.874646,355.846832,0.363343,336.197837,1557.53774,1.01726,2.29e-4,27508.751112,3.685351,3.62,4.275143482
493,five,Quantity,Number,Function word,1,0.843272,111.39838,0.400384,140.020937,505.57201,0.89303,8.4e-5,12776.920795,4.50594,3.87,4.545895708
499,cure,The body,Action/Process,Verb,0.896278,0.977598,39.830482,0.589453,77.382657,156.21995,1.65951,1.57e-4,736.280036,7.47,3.03,4.390628721
501,lift,Motion,Action/Process,Verb,1,0.99703,72.791179,0.713941,164.300686,215.6452,0.84479,2.87e-4,1683.773361,4.74,3.89,6.027692281
503,frog,Animals,Person/Thing,Noun,1,0.970504,13.071298,0.470982,16.495181,405.86094,2.77231,2.42e-4,298.427766,4.32,5,5.281379517
504,learn,Cognition,Action/Process,Verb,1,0.977713,267.422346,0.457015,463.572469,217.90526,1.16041,3.11e-4,3894.986651,4.44,2.2,6.167039846
505,parents,Kinship,Person/Thing,Noun,0.907566,0.847011,136.484668,0.395183,205.032208,562.76872,1.16405,4.44e-4,3760.011866,4.22,4.56,5.669998916
506,maize,Agriculture and vegetation,Person/Thing,Noun,0.855125,0.929139,11.593948,0.84794,29.836021,280.98966,1.32438,3.36e-4,525.363394,4.61,4.96,6.619986555
509,certain,Cognition,Property,Adjective,0.931085,0.864967,436.902725,0.552118,796.080594,198.70876,0.73407,2.77e-4,15739.543162,4.85,1.73,3.897127952
522,wolf,Animals,Person/Thing,Noun,0.686812,0.678995,27.73588,0.721217,25.524122,213.11221,2.31105,1.81e-4,455.651142,4.5,4.79,5.019998021
525,blood vessel,The body,Person/Thing,Noun,1,0.897203,8.089717,0.709011,6.858523,89.09899,0.40038,8.7e-5,215.959656,8.53,4.63,4.739600212
526,howl,Speech and language,Action/Process,Verb,0.991224,0.827898,1.847206,1.103401,6.294214,90.08374,0.42817,4e-5,64.075942,5.55,3.83,5.428962118
539,nest,Animals,Person/Thing,Noun,1,0.966357,11.832251,0.485158,14.353702,146.17257,1.17531,7.4e-5,242.954613,5.11,4.86,5.20186608
568,rise,The physical world,Action/Process,Verb,1,0.9728,34.136649,1.085555,79.97269,173.31352,1.71079,1.14e-4,1102.04687,6.72,4.04,4.134193981
578,kiss,Emotions and values,Action/Process,Verb,1,0.96764,79.412562,1.463663,85.398736,97.25935,0.73154,2.41e-4,1260.16019,3.61,4.48,6.008290982
579,battle,Warfare and hunting,Person/Thing,Noun,1,0.837937,197.3432,0.325673,227.604561,383.71759,0.89579,0.001506,4095.223969,6.95,4,5.968651226
580,fur,The body,Person/Thing,Noun,0.936162,0.822169,6.594417,0.463107,9.839231,142.14099,1.11047,2.37e-4,180.658558,5.22,4.69,5.338922944
584,difficult,Cognition,Property,Adjective,1,0.955997,440.511957,0.426424,591.931023,587.26461,0.96778,0.00162,10299.31771,4.39,3.76,5.643973142
585,boot,Clothing and grooming,Person/Thing,Noun,0.908584,0.591468,19.161382,0.853561,44.811909,123.76587,0.7115,2.3e-4,816.671611,3.89,4.96,5.136675848
586,garden,Agriculture and vegetation,Person/Thing,Noun,0.766764,0.839836,52.910263,0.796388,93.631857,410.11313,1.6195600000000001,4.97e-4,1838.030258,5.33,4.73,5.1896073639999996
587,ant,Animals,Person/Thing,Noun,1,0.95001,8.00385,0.412656,10.692929,152.76915,0.88798,1.8e-4,194.007713,4.32,4.86,4.678938197
590,naked,The body,Property,Adjective,0.974618,0.981235,28.773759,0.550103,34.625411,95.8304,0.51936,3.08e-4,675.763868,4.68,4.5,6.109547028
593,potato,Food and drink,Person/Thing,Noun,0.937546,0.713859,43.643744,0.407664,62.696158,310.96346,1.50303,3.87e-4,1177.395432,4.84,4.85,7.027058498
597,physician,The body,Person/Thing,Noun,0.976504,0.887853,116.856128,0.252544,139.832834,201.91596,0.78252,8.85e-4,2512.904183,4.6,4.69,6.002125064
598,shell,Animals,Person/Thing,Noun,0.920112,0.86282,9.603585,0.72349,20.445343,192.94795,1.36948,2.75e-4,378.226046,5.22,4.8,5.12674677
602,hide,Spatial relations,Action/Process,Verb,1,1,84.827233,0.413375,96.091665,256.19881,0.88629,3.42e-4,790.863245,4.47,3.21,4.725939747
603,coat,Clothing and grooming,Person/Thing,Noun,0.908642,0.678458,9.733024,1.328852,37.967856,122.31447,1.07264,2.72e-4,708.988431,3.58,4.97,5.539998973
604,glass,Basic actions and technology,Person/Thing,Noun,0.975191,0.812479,69.677641,0.470282,113.975914,165.46276,1.22371,0.001146,2105.013349,4.47,4.82,5.274934199
605,grain,Agriculture and vegetation,Person/Thing,Noun,0.791824,0.803587,12.401581,0.640232,18.448558,152.50395,1.14939,1.68e-4,334.32216,7.44,4.8,4.93578302
606,grass,Agriculture and vegetation,Person/Thing,Noun,0.976504,0.995356,24.566199,0.574852,33.366568,376.77597,1.04059,6.28e-4,613.764462,3.94,4.93,6.077946691
610,port,Motion,Person/Thing,Noun,0.602267,0.65784,35.730621,0.841047,26.638271,99.49783,0.5068,8.6e-5,479.976268,8.28,4.57,4.448118205
615,horse,Animals,Person/Thing,Noun,1,0.951137,53.222855,0.423085,63.824776,1229.01538,1.81261,0.001331,1121.328982,4.15,5,6.312235776
617,ice,The physical world,Person/Thing,Noun,0.974618,0.835872,37.717019,0.862793,118.852121,127.84423,1.11021,7.13e-4,1949.569861,3.86,4.89,6.425136796
618,precipice,The physical world,Person/Thing,Noun,0.978399,0.844795,8.01,0.468264,13.080389,143.59304,1.10136,1.7e-4,252.150697,7.27676,4.71,4.783106111
619,animal,Animals,Person/Thing,Noun,1,0.921842,150.648337,0.269406,153.477532,499.10827,1.11947,0.001767,2870.364877,2.89,4.63,6.372430202
620,insect,Animals,Person/Thing,Noun,0.765371,0.6426,7.237036,0.360677,6.438908,107.7085,1.07949,3.4e-4,123.405518,4.75,4.89,6.167566103
621,iron,Basic actions and technology,Person/Thing,Noun,1,0.843549,25.441618,0.723929,33.974285,203.77261,1.31682,3.2e-4,604.865025,7.32,4.59,5.050763917
622,island,The physical world,Person/Thing,Noun,0.934582,0.795272,60.947439,0.620545,72.376225,259.39972,2.16569,3.49e-4,1306.437259,7.41,4.96,4.636611448
623,lagoon,The physical world,Person/Thing,Noun,0.521696,0.566066,2.284049,1.485926,1.707396,112.61404,1.2765,6e-6,30.851379,9.42,4.5,4.388477893
624,lake,The physical world,Person/Thing,Noun,0.954903,0.889431,28.857627,0.633846,47.662392,264.1734,1.52661,2.24e-4,1005.339662,4.61,4.88,5.326259085
626,land,The physical world,Person/Thing,Noun,1,0.974148,121.592513,0.841566,243.738006,1380.60695,0.62312,6.03e-4,3878.671018,4.89,4.77,5.879098362
628,leaf,Agriculture and vegetation,Person/Thing,Noun,1,0.995995,24.889503,0.944677,17.927657,806.28872,1.50482,4.83e-4,1610.501335,4.6,5,5.689509089
629,leather,Clothing and grooming,Person/Thing,Noun,0.953785,0.961565,10.241287,0.844079,18.694539,111.66516,1.14289,2.39e-4,347.078018,7.25,4.82,5.995319951
631,livestock,Animals,Person/Thing,Noun,0.791575,0.743275,9.265283,1.77595,2.749197,106.38377,0.74881,1.2e-5,51.616731,7.89,4.7,5.193232586
632,lizard,Animals,Person/Thing,Noun,0.976504,0.942617,2.381219,0.656159,4.25402,130.66575,1.06002,1.52e-4,82.171462,5.42,4.68,4.975863914
633,market,Possession,Person/Thing,Noun,0.817937,0.769853,117.018186,0.398526,166.34088,274.36916,1.3835,1.71e-4,3023.138535,7.16,4.7,6.085163937
634,meat,Food and drink,Person/Thing,Noun,1,0.98716,62.036174,0.431584,57.024131,641.9648,0.95234,7.12e-4,988.430733,4.42,4.9,6.426335491
635,milk,Food and drink,Person/Thing,Noun,1,0.98219,76.97936,0.474785,69.279761,397.21209,1.39388,6.64e-4,1210.916642,3.37,4.92,6.396153607
636,mill,Food and drink,Person/Thing,Noun,0.737109,0.762886,7.450562,0.741861,14.975888,220.04212,2.82678,4.4e-5,406.407594,8.17,4.72,4.837033515
640,mud,The physical world,Person/Thing,Noun,1,0.989205,11.378624,0.595737,12.197752,154.76367,1.67283,2.45e-4,229.30881,4.05,4.86,4.810800215
641,mushroom,Agriculture and vegetation,Person/Thing,Noun,1,0.895486,14.331814,0.720252,18.810294,136.59942,0.96531,1.01e-4,333.135568,6.44,4.83,5.59535837
