concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens,tax,freq_subtitleus,cd_subtitleus,freq_german,freq_spanish,freq_bbc,freq_cbeebies,freq_cbbc,freq_bnc,cd_bbc,cd_cbeebies,cd_cbbc,known_percentage,prevalence,valence_warriner,arousal_warriner,dominance_warriner,perceptual_max,perceptual_aggregated,action_max,action_aggregated,sensor_max,valence_mohammad,arousal_mohammad,dominance_mohammad
320,lame,The body,Property,Adjective,0.976033,0.968992,8.945745,1.3388,28.200972,98.82161,0.72204,1.02e-4,577.57342,9.21,2.52,3.021930112,0,10.941027,484.261501,8.267815,2.59611,3.267108,0.85487899999999994,8.374363,2.802739,111.797716,9.018759,178.764897,0.992424,2.241403,3.2,2.74,3.45,2.058824,2.35239,1.894737,2.442917,2.058824,0.145,0.41,0.217
321,chew,Food and drink,Action/Process,Verb,1,0.988167,6.385472,0.728295,16.393895,136.14563,1.04945,1.2e-4,169.682587,4.05,3.93,5.656562598,5,9.078307,429.231785,4.645725,2.427844,6.707734,23.936612,20.348232,3.466545,220.101753,90.18759,355.724088,0.995062,2.330537,5.58,3.8,6.48,3.05,4.119066,4.772727,4.807401,4.772727,0.52,0.49,0.404
345,sap,Agriculture and vegetation,Person/Thing,Noun,0.976033,0.855612,2.377659,0.762717,5.802252,106.59491,0.72818,2.8e-5,96.113913,7.53,4.37,4.159696984,6,3.509756,146.379045,12.401722,0.769218,2.528414,28.211007,3.011832,3.245277,60.921021,39.68254,41.531239,0.97284,1.85373,4.19,3.92,4.77,3.444444,4.073601,1.526316,1.635822,3.444444,0.47,0.298,0.258
352,untie,Basic actions and technology,Action/Process,Verb,1,0.966434,0.770665,0.276474,0.607717,98.49349,0.45853,1.4e-5,11.569267,4.84,3.89,4.798747461,3,5.196007,191.503412,34.449228,1.514398,1.095646,3.24854,4.921775,0.579514,31.224753,30.663781,75.839653,0.976359,1.904781,4.95,2.8,5.18,3.117647,3.754154,3.809524,3.86186,3.809524,0.542,0.463,0.472
367,ride,Motion,Action/Process,Verb,0.87839,0.884468,24.643521,1.423732,150.699396,239.19618,1.61788,2.05e-4,2161.376446,4.67,3.75,4.596801889,1,135.390304,3430.552498,16.693112,15.192053,59.739985,275.271035,72.577811,35.413554,1380.658122,1129.148629,1130.371975,1,2.575829,6.27,5.1,5.28,2.45,2.873096,3,4.187275,3,0.806,0.465,0.472
378,pinch,Sense perception,Action/Process,Verb,1,0.905363,5.465573,0.660946,12.501611,96.9887,0.57522,4.1e-5,201.42391,5.5,4,5.456328324,3,6.137171,288.355712,2.16538,0.336533,10.183065,33.511256,11.018898,5.900503,322.946918,128.066378,200.433369,0.995086,2.331448,3.5,4.44,4.77,3.882353,4.5363,4,4.10345,4,0.34,0.632,0.339
391,bless,Religion and belief,Action/Process,Verb,0.872584,0.679946,35.231597,0.948278,131.455018,117.84247,1.16501,7e-6,819.63809,5.33,2.68,3.658289017,2,35.077951,1228.263262,2.952791,1.874969,17.99636,23.936612,17.40986,6.069089,577.985458,158.730159,361.141206,0.995316,2.340189,7,4.57,6.26,2,2.558452,2.55,3.18181,2.55,0.929,0.269,0.588
420,forest,The physical world,Person/Thing,Noun,1,0.982371,56.202173,0.481234,32.180073,430.79421,1.17084,4.16e-4,592.405814,6.28,4.76,5.544539185,5,18.901702,551.397755,48.622625,54.205821,46.547611,56.763965,48.923909,76.264,720.789571,288.600289,604.91152,0.994709,2.317506,6.68,4.44,5.71,4.277778,4.729707,3.045455,4.013404,4.277778,0.729,0.27,0.435
471,upper leg,The body,Person/Thing,Noun,1,0.981662,9.887659,0.675818,9.810292,106.98575,0.74517,3.1e-5,194.601009,6.42,4.9,5.993725451,8,3.764654,168.390931,1.929157,3.701861,2.994436,1.538782,1.469186,8.292314,97.823002,10.822511,30.697003,0.987245,2.105416,5.22,5.32,5.73,4.055556,5.062748,4.4,4.406424,4.4,0.469,0.433,0.588
476,cup,Food and drink,Person/Thing,Noun,0.976504,0.920173,59.79715,0.903993,146.517723,129.96443,0.68743,3.07e-4,2722.9308810000002,3.57,5,6.188637753,7,51.66596,1724.631301,18.307304,27.547615,123.8923,109.937438,91.16302,129.210476,2186.824464,588.023088,1200.794511,0.995146,2.333696,5.94,2.6,5.28,4.5,5.233835,3.8,4.541178,4.5,0.615,0.167,0.231
478,lip,The body,Person/Thing,Noun,1,0.999149,38.84217,0.666183,47.300655,102.21475,0.56805,2.62e-4,888.460398,3.79,4.96,5.160045192,6,10.764559,478.75853,3.307126,4.759536,8.051264,4.616347,12.561544,16.784823,263.554381,36.075036,232.936078,0.992891,2.255917,6.38,4.6,5.95,2.941176,3.826066,4.25,4.333553,4.25,0.541,0.348,0.443
479,grow,Spatial relations,Action/Process,Verb,1,0.993867,93.299608,0.604907,236.011316,359.40178,1.65178,2.49e-4,1795.312964,4.79,3.03,4.721708944,5,59.508989,2272.727273,20.393943,22.042899,84.736582,290.316905,82.054064,57.666879,1970.434745,945.165945,1280.245576,0.995025,2.329157,6.28,2.6,5.5,3.105263,3.336702,3.294118,4.084032,3.294118,0.914,0.615,0.755
480,plate,Food and drink,Person/Thing,Noun,0.986424,0.913777,15.372003,0.95007,51.077184,151.30607,0.70592,2.05e-4,954.019579,3.84,4.77,5.487910083,9,25.666315,1019.150341,13.819062,27.787995,53.384245,81.555456,41.431058,43.168501,1007.052864,364.357864,576.020224,0.990172,2.177283,4.8,3.18,5.79,4.45,5.174171,2.4,2.990978,4.45,0.583,0.245,0.366
