concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
1361,tool,Basic actions and technology,Person/Thing,Noun,0.587263
1367,cross,Spatial relations,Person/Thing,Noun,0.619106
1368,bread,Food and drink,Person/Thing,Noun,0.916959
1369,gold,Basic actions and technology,Person/Thing,Noun,0.799829
1374,ring,Clothing and grooming,Person/Thing,Noun,1
1375,window,The house,Person/Thing,Noun,0.929031
1378,spoon,Food and drink,Person/Thing,Noun,1
1381,shoe,Clothing and grooming,Person/Thing,Noun,1
1383,grandfather,Kinship,Person/Thing,Noun,0.856331
1384,second,Quantity,Other,Function word,0.663402
1385,pepper,Food and drink,Person/Thing,Noun,0.460847
1386,lion,Animals,Person/Thing,Noun,0.726088
1388,shade,The physical world,Person/Thing,Noun,1
1390,wrong,Emotions and values,Property,Adjective,0.825905
1391,town,Social and political relations,Person/Thing,Noun,0.792083
1393,horn,The body,Person/Thing,Noun,1
1399,clay,Basic actions and technology,Person/Thing,Noun,0.813318
1403,bite,The body,Action/Process,Verb,1
1427,beautiful,Emotions and values,Property,Adjective,1
1428,burning,The physical world,Action/Process,Verb,1
1430,star,The physical world,Person/Thing,Noun,1
1440,spit,The body,Action/Process,Verb,1
1441,fly,Motion,Action/Process,Verb,1
1450,room,The house,Person/Thing,Noun,0.899814
1451,smile,Emotions and values,Action/Process,Verb,1
1453,wash,Basic actions and technology,Action/Process,Verb,1
1457,sew,Clothing and grooming,Action/Process,Verb,1
1463,drunk,The body,Property,Adjective,1
1464,ladder,The house,Person/Thing,Noun,1
1469,week,Time,Person/Thing,Noun,0.916959
1471,winter,Time,Person/Thing,Noun,0.717983
1472,key,The house,Person/Thing,Noun,1
1474,sea,The physical world,Person/Thing,Noun,0.756417
1475,comb,Clothing and grooming,Person/Thing,Noun,1
1476,chair,The house,Person/Thing,Noun,1
