concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
156	red	Having red as its colour.	a00381097	carmine	n04963449	5.0	a variable color averaging a vivid red	different	0.0
156	red	Having red as its colour.	a00381097	cerise	s00381097	2.0	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies	different	0.0
156	red	Having red as its colour.	a00381097	cherry	n07757132	242.0	a red fruit with a single hard stone	different	0.0
156	red	Having red as its colour.	a00381097	cherry-red				different	0.0
156	red	Having red as its colour.	a00381097	crimson	n04963588	109.0	a deep and vivid red color	different	0.0
156	red	Having red as its colour.	a00381097	red	s00381097	5220.0	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies	different	0.0
156	red	Having red as its colour.	a00381097	reddish	s00381097	123.0	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies	different	0.0
156	red	Having red as its colour.	a00381097	ruby	n13372262	60.0	a transparent piece of ruby that has been cut and polished and is valued as a precious gem	different	0.0
156	red	Having red as its colour.	a00381097	ruby-red				different	0.0
156	red	Having red as its colour.	a00381097	ruddy	s01172139	1.0	inclined to a healthy reddish color often associated with outdoor life	different	0.0
156	red	Having red as its colour.	a00381097	scarlet	s00381097	118.0	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies	different	0.0
157	dye	To modify the color of something by applying dye.	v00283090	dye	v00283090	192.0	color with dye	same	2.0
161	miss (a target)	To fail to hit (a target, a bell, etc.).	v01237901	miss	v01805523	1127.0	feel or suffer from the lack of	different	0.0
162	hiccough	To have spasms of the diaphragm.	v00003826	hiccough	v00003826	3.0	breathe spasmodically, and make a sound	same	1.0
162	hiccough	To have spasms of the diaphragm.	v00003826	hiccup	n14359459	35.0	(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion	different	1.0
163	black	Dark and colourless; not reflecting visible light.	a00392812	black	a00392812	6906.0	being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light	same	0.0
166	mainland	A large and continuous mass of land representing most of a region or a country but excluding outlying islands.	n09346120	mainland	n09346120	167.0	the main land mass of a country or continent; as distinguished from an island or peninsula	same	4.0
168	rest	To cease working, moving or thinking for some time in order to relieve fatigue.	v00014405	rest	n13810818	3614.0	something left after other parts have been taken away	different	2.0
172	shoulderblade	A large flat bone located at the back of each shoulder.	n05279688	scapula	n05279688	7.0	either of two flat triangular bones one on each side of the shoulder in human beings	same	9.0
