concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
2118,mezq1235,1,mountain or hill,The physical world,Mezquital Otomi,North America,Otomanguean
2118,sara1340,1,mountain or hill,The physical world,Saramaccan,South America,Indo-European
2118,imba1240,1,mountain or hill,The physical world,Imbabura Highland Quichua,South America,Quechuan
2118,gali1262,1,mountain or hill,The physical world,Galibi Carib,South America,Cariban
2118,hupd1244,1,mountain or hill,The physical world,Hup,South America,Naduhup
2118,wich1264,1,mountain or hill,The physical world,Güisnay,South America,Mataguayan
2118,mapu1245,1,mountain or hill,The physical world,Mapudungun,South America,Araucanian
2118,kett1243,1,mountain or hill,The physical world,Ket,Eurasia,Yeniseian
2118,chew1245,1,mountain or hill,The physical world,Chewong,Eurasia,Austroasiatic
2118,guri1247,1,mountain or hill,The physical world,Gurindji,Australia,Pama-Nyungan
618,swah1253,1,precipice,The physical world,Swahili,Africa,Atlantic-Congo
618,iraq1241,1,precipice,The physical world,Iraqw,Africa,Afro-Asiatic
618,gaww1239,1,precipice,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
618,haus1257,1,precipice,The physical world,Hausa,Africa,Afro-Asiatic
618,cent2050,1,precipice,The physical world,Central Kanuri,Africa,Saharan
618,tari1263,1,precipice,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
618,sese1246,1,precipice,The physical world,Seselwa Creole French,Africa,Indo-European
618,roma1327,1,precipice,The physical world,Romanian,Eurasia,Indo-European
618,west2376,0,precipice,The physical world,West Slovakian Romani,Eurasia,Indo-European
618,lowe1385,1,precipice,The physical world,Lower Sorbian,Eurasia,Indo-European
618,oldh1241,1,precipice,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
618,dutc1256,1,precipice,The physical world,Dutch,Eurasia,Indo-European
618,stan1293,1,precipice,The physical world,English,Eurasia,Indo-European
618,kild1236,1,precipice,The physical world,Kildin Saami,Eurasia,Uralic
618,bezh1248,1,precipice,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
618,arch1244,1,precipice,The physical world,Archi,Eurasia,Nakh-Daghestanian
618,mana1288,1,precipice,The physical world,Manange,Eurasia,Sino-Tibetan
618,yaku1245,1,precipice,The physical world,Sakha,Eurasia,Turkic
618,oroq1238,1,precipice,The physical world,Oroqen,Eurasia,Tungusic
618,nucl1643,1,precipice,The physical world,Japanese,Eurasia,Japonic
618,mand1415,1,precipice,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
618,thai1261,1,precipice,The physical world,Thai,Eurasia,Tai-Kadai
618,viet1252,1,precipice,The physical world,Vietnamese,Eurasia,Austroasiatic
618,hmon1333,1,precipice,The physical world,Hmong Daw,Eurasia,Hmong-Mien
618,indo1316,1,precipice,The physical world,Standard Indonesian,Papunesia,Austronesian
618,plat1254,1,precipice,The physical world,Plateau Malagasy,Africa,Austronesian
618,taki1248,1,precipice,The physical world,Takia,Papunesia,Austronesian
618,hawa1245,1,precipice,The physical world,Hawaiian,Papunesia,Austronesian
618,yaqu1251,1,precipice,The physical world,Yaqui,North America,Uto-Aztecan
618,tzot1259,1,precipice,The physical world,Tzotzil,North America,Mayan
618,kekc1242,1,precipice,The physical world,Q'eqchi',North America,Mayan
618,mezq1235,1,precipice,The physical world,Mezquital Otomi,North America,Otomanguean
618,sara1340,1,precipice,The physical world,Saramaccan,South America,Indo-European
618,imba1240,1,precipice,The physical world,Imbabura Highland Quichua,South America,Quechuan
618,gali1262,1,precipice,The physical world,Galibi Carib,South America,Cariban
