original_word	lemmatized_word
Carnegie	Carnegie
Carnival	Carnival
Carol	Carol
Carolina	Carolina
Caroline	Caroline
Carpathians	Carpathians
Carper	Carper
Carrel	Carrel
Carrell	Carrell
Carroll	Carroll
Carrousel	Carrousel
Carson	Carson
Carter	Carter
Cartesian	Cartesian
Cartier	Cartier
Carven	Carven
Carver	Carver
Casablanca	Casablanca
Casanova	Casanova
Casbah	Casbah
Cascades	Cascades
Casein	Casein
Casper	Casper
Caspian	Caspian
Cass	Cass
Cassandra	Cassandra
Cassia	Cassia
Cassie	Cassie
Cassino	Cassino
Cassiopeia	Cassiopeia
Cassius	Cassius
Castor	Castor
Castro	Castro
Catalonia	Catalonia
Catastrophic	Catastrophic
Catatonia	Catatonia
Categories	Categories
Catered	Catered
Caterpillar	Caterpillar
Catherine	Catherine
Catholicism	Catholicism
Cation	Cation
Catties	Catties
Catty	Catty
Caucasian	Caucasian
Caucasus	Caucasus
Caution	Caution
Cavalcade	Cavalcade
Caw	Caw
Caxton	Caxton
Ceiling	Ceiling
Celebrity	Celebrity
Celsius	Celsius
Celtic	Celtic
Celtics	Celtics
Cemetery	Cemetery
Centimeters	Centimeters
Centralize	Centralize
Centurion	Centurion
Cerberus	Cerberus
Cerebral	Cerebral
Ceres	Ceres
Certainly	Certainly
Certainty	Certainty
Cervantes	Cervantes
Cesarean	Cesarean
Ceylon	Ceylon
Chad	Chad
Challenge	Challenge
Challis	Challis
Chamberlain	Chamberlain
Champaign	Champaign
Champion	Champion
Chancing	Chancing
Chandler	Chandler
Chang	Chang
Chanukah	Chanukah
Chapel	Chapel
Chaperon	Chaperon
Chaplin	Chaplin
Chara	Chara
Character	Character
Characteristic	Characteristic
Charing	Charing
Chariot	Chariot
Charity	Charity
Charlemagne	Charlemagne
Charles	Charles
Charleston	Charleston
Charlotte	Charlotte
Charolais	Charolais
Charon	Charon
Charybdis	Charybdis
Chateaus	Chateaus
Chaucer	Chaucer
Chavez	Chavez
Cheating	Cheating
Cheddar	Cheddar
Cheek	Cheek
Cheese	Cheese
Cheever	Cheever
Chekhov	Chekhov
Chela	Chela
Chemistry	Chemistry
Chernobyl	Chernobyl
Cherokee	Cherokee
Cherry	Cherry
Chester	Chester
Chesterfield	Chesterfield
Chesty	Chesty
Chevy	Chevy
Chewing	Chewing
Cheyenne	Cheyenne
Chi	Chi
Chic	Chic
Chicago	Chicago
Chicano	Chicano
Chick	Chick
Chiefs	Chiefs
Chihuahua	Chihuahua
Childhood	Childhood
Chile	Chile
Chiles	Chiles
Chilling	Chilling
Chimera	Chimera
Chimney	Chimney
Chin	Chin
China	China
Chinese	Chinese
Chippendale	Chippendale
Chlorophyll	Chlorophyll
Chocolate	Chocolate
Choices	Choices
Choir	Choir
Chomp	Chomp
Chomping	Chomping
Chomsky	Chomsky
Choose	Choose
Chopin	Chopin
Chopstick	Chopstick
Chorion	Chorion
Christ	Christ
Christchurch	Christchurch
Christian	Christian
Christianity	Christianity
Christians	Christians
Christie	Christie
Christmas	Christmas
Christmases	Christmases
Christmastime	Christmastime
Christopher	Christopher
Christs	Christs
Church	Church
Churchill	Churchill
Cicero	Cicero
Cicerone	Cicerone
Cid	Cid
Cigarette	Cigarette
Cigarettes	Cigarettes
Cincinnati	Cincinnati
Cinderella	Cinderella
Circe	Circe
Circled	Circled
Circular	Circular
Circumstances	Circumstances
Cirri	Cirri
Cisco	Cisco
Citron	Citron
City	City
Civilization	Civilization
Clarence	Clarence
Clarinet	Clarinet
Clark	Clark
Clary	Clary
Claudius	Claudius
Claustrophobia	Claustrophobia
Claymore	Claymore
Clement	Clement
Clementine	Clementine
Cleopatra	Cleopatra
Cleveland	Cleveland
Climbing	Climbing
Cline	Cline
Clinton	Clinton
Clio	Clio
Clique	Clique
Cloche	Cloche
Clothes	Clothes
Clothing	Clothing
Clown	Clown
Clued	Clued
Clumps	Clumps
Clumsy	Clumsy
Clyde	Clyde
Clydesdale	Clydesdale
Co	Co
Coalfield	Coalfield
Cobol	Cobol
Coca	Coca
Cocktail	Cocktail
Coco	Coco
Cody	Cody
Coercion	Coercion
Coffeecake	Coffeecake
Cogitative	Cogitative
Coherent	Coherent
Coiffure	Coiffure
Coincidence	Coincidence
Coke	Coke
Colbert	Colbert
Cole	Cole
Coles	Coles
Colette	Colette
Coliseum	Coliseum
Collaboration	Collaboration
Collar	Collar
Colleen	Colleen
College	College
Collegiate	Collegiate
Collier	Collier
Collins	Collins
Colludes	Colludes
Colombia	Colombia
Colombo	Colombo
Colonization	Colonization
Colorado	Colorado
Colorful	Colorful
Colorless	Colorless
Colosseum	Colosseum
Colt	Colt
Columbia	Columbia
Columbine	Columbine
Columbo	Columbo
Columbus	Columbus
Column	Column
Comfortable	Comfortable
Commanded	Commanded
Commercials	Commercials
Commit	Commit
Commitment	Commitment
Communism	Communism
Comparable	Comparable
Compassionate	Compassionate
Competition	Competition
Composer	Composer
Comprehensible	Comprehensible
Comprehension	Comprehension
Compression	Compression
Comprise	Comprise
Compromise	Compromise
Compulsory	Compulsory
Computer	Computer
Comte	Comte
Concord	Concord
Concords	Concords
Concrete	Concrete
Condensation	Condensation
Condense	Condense
Condolences	Condolences
Condom	Condom
Conestoga	Conestoga
Coney	Coney
Confident	Confident
Conflict	Conflict
Confucius	Confucius
Congeniality	Congeniality
Conger	Conger
Congo	Congo
Congratulate	Congratulate
Congress	Congress
Connecticut	Connecticut
Conniving	Conniving
Conquer	Conquer
Conrad	Conrad
Conscious	Conscious
Consciousness	Consciousness
Consideration	Consideration
Constabulary	Constabulary
Constance	Constance
Constantinople	Constantinople
Constrictor	Constrictor
Construction	Construction
Consumers	Consumers
Consummate	Consummate
Contagious	Contagious
Contemplative	Contemplative
Continent	Continent
Continuing	Continuing
Controlling	Controlling
Convenient	Convenient
Conversation	Conversation
Cookbook	Cookbook
Cookie	Cookie
Coop	Coop
Cooper	Cooper
Copenhagen	Copenhagen
Copernicus	Copernicus
Coppola	Coppola
Coptic	Coptic
Cora	Cora
Cordoba	Cordoba
Corned	Corned
Cornell	Cornell
Cornet	Cornet
Cornish	Cornish
Cornwall	Cornwall
Corona	Corona
Corporal	Corporal
Corpuscular	Corpuscular
Correction	Correction
Correlated	Correlated
Corrie	Corrie
Cortes	Cortes
Cortez	Cortez
Cortland	Cortland
Corvette	Corvette
Cos	Cos
Cosmic	Cosmic
